gid,gname,gsubname,gname2,gsubname2,gname3,gsubname3,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim
100039,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100040,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100041,Armed Revolutionary Independence Movement (MIRA),,,,,,0,,,0,1,1,1,1,Letter,,,,,,,
100042,Strikers,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100043,Popular Front for the Liberation of Palestine (PFLP),,,,,,0,,,0,3,,,,,,,,,,,
100044,Popular Front for the Liberation of Palestine (PFLP),,,,,,0,,,0,,,,,,,,,,,,
100045,Black Nationalists,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100046,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100047,Left-Wing Militants,,,,,,0,,,0,1,-99,0,,,,,,,,,
100048,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100049,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100050,Black Nationalists,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100051,Left-Wing Militants,,,,,,0,,,0,-99,-99,1,10,Unknown,,,,,,,
100052,Student Radicals,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100053,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",,,,,,0,,,0,4,,,,,,,,,,,
100054,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",,,,,,0,,,0,,,,,,,,,,,,
100055,Left-Wing Militants,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100056,"Weather Underground, Weathermen",,,,,,0,,,0,4,-99,1,1,Letter,,,,,,,
100057,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100058,White supremacists/nationalists,,,,,,0,,,0,-99,0,0,,,,,,,,,
100059,New Years Gang,,,,,,0,,,0,1,1,0,,,,,,,,,
100060,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100061,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100062,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100063,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100064,Eritrean Liberation Front,,,,,,0,,,0,,,,,,,,,,,,
100065,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100066,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100067,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100068,1st of May Group,,,,,,0,,,0,3,,,,,,,,,,,
100069,Student Radicals,,,,,,0,,,0,4,4,0,,,,,,,,,
100070,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100071,Armed Commandos of Liberation,,Armed Revolutionary Independence Movement (MIRA),,,,1,1,,0,-99,-99,0,,,0,,,,,,
100072,Rebel Armed Forces of Guatemala (FAR),,,,,,0,,,0,,,,,,,,,,,,
100073,"Weather Underground, Weathermen",,,,,,1,,,0,-99,-99,0,,,,,,,,,
100074,Ku Klux Klan,,,,,,0,,,0,,,,,,,,,,,,
100075,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100076,Black Nationalists,,,,,,1,,,0,2,0,0,,,,,,,,,
100077,Left-Wing Militants,,,,,,1,,,0,1,-99,0,,,,,,,,,
100078,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100079,Popular Revolutionary Vanguard (VPR),,,,,,0,,,0,6,,,,,,,,,,,
100080,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100081,Revolutionary Force 9,,,,,,0,,,0,,,,,,,,,,,,
100082,Revolutionary Force 9,,,,,,0,,,0,-99,-99,1,3,Call (pre-incident),,,,,,,
100083,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100084,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100085,Left-Wing Militants,,,,,,0,,,0,2,1,0,,,,,,,,,
100086,Puerto Rican Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100087,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100088,Chicano Liberation Front,,,,,,1,,,0,-99,-99,1,9,Other,,,,,,,
100089,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100090,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100091,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100092,Puerto Rican Resistance Movement,,,,,,0,,,0,-99,-99,1,1,Letter,,,,,,,
100093,Black Panthers,,,,,,0,,,0,1,1,0,,,,,,,,,
100094,Black Panthers,,,,,,1,,,0,1,0,0,,,,,,,,,
100095,Strikers,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100096,Dominican Popular Movement (MPD),,,,,,0,,,0,5,,,,,,,,,,,
100097,Argentine Liberation Front (FAL),,,,,,0,,,0,,,,,,,,,,,,
100098,White supremacists/nationalists,,,,,,0,,,0,-99,0,0,,,,,,,,,
100099,Argentine National Organization Movement (MANO),,,,,,0,,,0,4,,,,,,,,,,,
100100,Left-Wing Militants,,,,,,0,,,0,1,1,0,,,,,,,,,
100101,Japanese Red Army (JRA),,,,,,0,,,0,,,,,,,,,,,,
100102,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100103,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100104,Saor Eire (Irish Republican Group),,,,,,0,,,0,,,,,,,,,,,,
100105,Student Radicals,,,,,,0,,,0,-99,0,0,,,,,,,,,
100106,Popular Revolutionary Vanguard (VPR),,,,,,0,,,0,,,,,,,,,,,,
100107,Strikers,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100108,Unknown,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100109,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100110,Student Radicals,,,,,,0,,,0,2,-99,0,,,,,,,,,
100111,New World Liberation Front (NWLF),,,,,,0,,,0,,,,,,,,,,,,
100112,Cuban Exiles,,,,,,0,,,0,4,-99,0,,,,,,,,,
100113,Black Panthers,,,,,,1,,,0,-99,2,0,,,,,,,,,
100114,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100115,Student Radicals,,,,,,0,,,0,-99,0,0,,,,,,,,,
100116,Left-Wing Militants,,,,,,0,,,0,3,-99,0,,,,,,,,,
100117,Student Radicals,,,,,,1,,,0,2,-99,0,,,,,,,,,
100118,Armed Commandos of Liberation,,,,,,0,,,0,-99,-99,1,1,Letter,,,,,,,
100119,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100120,Black Panthers,,,,,,0,,,0,3,3,0,,,,,,,,,
100121,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100122,The World United Formosans for Independence (WUFI),,,,,,0,,,0,2,2,1,8,Personal claim,,,,,,,
100123,Palestinians,,,,,,0,,,0,,,,,,,,,,,,
100124,Left-Wing Militants,,,,,,0,,,0,1,1,0,,,,,,,,,
100125,Black Nationalists,,,,,,1,,,0,,,,,,,,,,,,
100126,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100127,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100128,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100129,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100130,Unknown,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100131,Extraparliamentary Opposition (APO),,,,,,0,,,0,,,,,,,,,,,,
100132,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100133,Left-Wing Militants,,,,,,0,,,0,4,-99,0,,,,,,,,,
100134,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100135,Armed Revolutionary Independence Movement (MIRA),,,,,,1,,,0,-99,-99,0,,,,,,,,,
100136,Revolutionary Force 26,,,,,,0,,,0,-99,-99,1,9,Other,,,,,,,
100137,Palestinians,,,,,,0,,,0,2,,,,,,,,,,,
100138,Strikers,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100139,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100140,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100141,Left-Wing Militants,,,,,,0,,,0,1,1,0,,,,,,,,,
100142,Black Afro Militant Movement,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100143,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100144,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100145,Left-Wing Militants,,,,,,0,,,0,2,2,0,,,,,,,,,
100146,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100147,Stop the War Coalition,,,,,,1,,,0,-99,-99,1,1,Letter,,,,,,,
100148,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100149,1st of May Group,,,,,,0,,,0,,,,,,,,,,,,
100150,Ku Klux Klan,,,,,,0,,,0,4,4,1,10,Unknown,,,,,,,
100151,Black Panthers,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100152,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100153,Black Afro Militant Movement,,,,,,0,,,0,6,6,0,,,,,,,,,
100154,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100155,Tupamaros (Uruguay),,,,,,0,,,0,4,,,,,,,,,,,
100156,Black Nationalists,,,,,,0,,,0,1,0,0,,,,,,,,,
100157,Cuban Action,,,,,,0,,,0,3,,,,,,,,,,,
100158,Black Afro Militant Movement,,,,,,0,,,0,5,5,0,,,,,,,,,
100159,Jewish Defense League (JDL),,,,,,0,,,0,6,,,,,,,,,,,
100160,Black Nationalists,,,,,,0,,,0,2,2,0,,,,,,,,,
100161,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100162,Black Nationalists,,,,,,0,,,0,-99,,0,,,,,,,,,
100163,Black Panthers,,,,,,0,,,0,6,,,,,,,,,,,
100164,Right-wing extremists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100165,Montoneros (Argentina),,,,,,0,,,0,,,,,,,,,,,,
100166,Tupamaros (Uruguay),,,,,,0,,,0,42,,,,,,,,,,,
100167,Left-Wing Militants,,,,,,0,,,0,1,1,0,,,,,,,,,
100168,Montoneros (Argentina),,,,,,0,,,0,4,,,,,,,,,,,
100169,Unknown,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100170,Black Nationalists,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100171,Kabataang Makabayan (KM),,,,,,0,,,0,,,,,,,,,,,,
100172,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100173,Armed Forces of National Liberation- Venezuela (FALN),FALN-R,,,,,0,,,0,3,,,,,,,,,,,
100174,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100175,Black Panthers,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100176,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100177,Black Panthers,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100178,Student Radicals,,,,,,0,,,0,2,-99,0,,,,,,,,,
100179,Black Nationalists,,,,,,1,,,0,1,-99,0,,,,,,,,,
100180,Black Nationalists,,,,,,0,,,0,2,2,0,,,,,,,,,
100181,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100182,Jewish Defense League (JDL),,,,,,0,,,0,,,,,,,,,,,,
100183,White supremacists/nationalists,,,,,,0,,,0,1,1,0,,,,,,,,,
100184,Irish Republican Army (IRA),,,,,,0,,,0,,,,,,,,,,,,
100185,Ulster Volunteer Force (UVF),,,,,,0,,,0,,,,,,,,,,,,
100186,National Committee to Combat Fascism,,,,,,0,,,0,2,,,,,,,,,,,
100187,Black Nationalists,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100188,Unknown,,,,,,0,,,0,4,,,,,,,,,,,
100189,Revolutionary Force Seven,,,,,,0,,,0,-99,-99,1,1,Letter,,,,,,,
100190,Revolutionary Force Seven,,,,,,0,,,0,,,,,,,,,,,,
100191,Black Panthers,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100192,Seattle Liberation Front,,,,,,1,,,0,-99,-99,1,1,Letter,,,,,,,
100193,Left-Wing Militants,,,,,,0,,,0,1,1,0,,,,,,,,,
100194,White supremacists/nationalists,,,,,,0,,,0,2,2,0,,,,,,,,,
100195,Unknown,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100196,Strikers,,,,,,0,,,0,3,3,0,,,,,,,,,
100197,Unknown,,,,,,0,,,0,2,-99,0,,,,,,,,,
100198,Strikers,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100199,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100200,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100201,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100202,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100203,Black Nationalists,,,,,,0,,,0,2,2,0,,,,,,,,,
100204,Black Nationalists,,,,,,0,,,0,3,-99,0,,,,,,,,,
100205,Ejercito de Liberacion Nacional (Bolivia),,,,,,0,,,0,5,,,,,,,,,,,
100206,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100207,Arabs,,,,,,0,,,0,6,,,,,,,,,,,
100208,Sandinista National Liberation Front (FSLN),,,,,,0,,,0,4,,,,,,,,,,,
100209,Unknown,,,,,,0,,,0,3,,,,,,,,,,,
100210,Jewish Defense League (JDL),,,,,,0,,,0,-99,-99,0,,,,,,,,,
100211,American Servicemens Union (ASU),,,,,,0,,,0,,,,,,,,,,,,
100212,American Servicemens Union (ASU),,,,,,0,,,0,3,,,,,,,,,,,
100213,GAC,,,,,,0,,,0,,,,,,,,,,,,
100214,Black Panthers,,,,,,0,,,0,1,,,,,,,,,,,
100215,Tupamaros (Uruguay),,,,,,0,,,0,,,,,,,,,,,,
100216,Revolutionary Armed Forces- Argentina (FAR-A),,,,,,0,,,0,22,,,,,,,,,,,
100217,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100218,South Moluccans,,,,,,0,,,0,,,,,,,,,,,,
100219,Croatian Nationalists,,,,,,0,,,0,,,,,,,,,,,,
100220,Black Nationalists,,,,,,0,,,0,1,1,0,,,,,,,,,
100221,SFT,,,,,,0,,,0,,,,,,,,,,,,
100222,Jonathan Jackson Brigade,,,,,,0,,,0,,,,,,,,,,,,
100223,Peronist Armed Forces (FAP),,,,,,0,,,0,5,,,,,,,,,,,
100224,White Panther Party,,,,,,0,,,0,4,4,0,,,,,,,,,
100225,White supremacists/nationalists,,,,,,0,,,0,-99,0,0,,,,,,,,,
100226,Black Panthers,,,,,,0,,,0,,,,,,,,,,,,
100227,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100228,Revolutionary Action Party,,,,,,0,,,0,,,,,,,,,,,,
100229,Left-Wing Militants,,,,,,0,,,0,2,2,0,,,,,,,,,
100230,Tupamaros (Uruguay),,,,,,0,,,0,6,,,,,,,,,,,
100231,Black Panthers,,,,,,1,,,0,1,1,0,,,,,,,,,
100232,New Years Gang,,,,,,0,,,0,,,,,,,,,,,,
100233,Unknown,,,,,,0,,,0,6,,,,,,,,,,,
100234,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100235,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100236,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100237,Turkish Peoples Liberation Army,,,,,,0,,,0,,,,,,,,,,,,
100238,Unknown,,,,,,0,,,0,2,,,,,,,,,,,
100239,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100240,Black Nationalists,,,,,,0,,,0,1,1,0,,,,,,,,,
100241,Popular Front for the Liberation of Palestine (PFLP),,,,,,0,,,0,2,,,,,,,,,,,
100242,Popular Front for the Liberation of Palestine (PFLP),,,,,,0,,,0,9,,,,,,,,,,,
100243,Unknown,,,,,,0,,,1,-99,-99,0,,,,,,,,,
100244,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),,,,,,1,,,0,3,,,,,,,,,,,
100245,Right-wing extremists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100246,Palestine Liberation Organization (PLO),Palestinian Liberation Army (military wing),,,,,0,,,0,,,,,,,,,,,,
100247,Jewish Defense League (JDL),,,,,,0,,,0,4,,,,,,,,,,,
100248,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),,,,,,0,,,0,6,,,,,,,,,,,
100249,Black Panthers,,,,,,1,,,0,1,0,0,,,,,,,,,
100250,"Weather Underground, Weathermen",,,,,,0,,,0,2,,,,,,,,,,,
100251,"Weather Underground, Weathermen",,,,,,0,,,0,5,,,,,,,,,,,
100252,Jewish Defense League (JDL),,,,,,0,,,0,2,,,,,,,,,,,
100253,Protestant extremists,,,,,,0,,,0,,,,,,,,,,,,
100254,Siah KAL,,,,,,0,,,0,,,,,,,,,,,,
100255,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100256,Turkish Peoples Liberation Front (TPLF)(THKP-C),,,,,,0,,,0,,,,,,,,,,,,
100257,Neo-Nazi extremists,,,,,,0,,,0,4,4,0,,,,,,,,,
100258,Front de Liberation du Quebec (FLQ),,,,,,0,,,0,,,,,,,,,,,,
100259,Quartermoon Society,,,,,,0,,,0,,,,,,,,,,,,
100260,"Weather Underground, Weathermen",Perfect Park Home Garden Society,,,,,0,,,0,,,,,,,,,,,,
100261,Students for a Democratic Society (SDS) (German),,,,,,0,,,0,,,,,,,,,,,,
100262,Front de Liberation du Quebec (FLQ),,,,,,0,,,0,4,,,,,,,,,,,
100263,Iranians,,,,,,1,,,0,3,,,,,,,,,,,
100264,"Weather Underground, Weathermen",,,,,,0,,,0,-99,-99,1,3,Call (pre-incident),,,,,,,
100265,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100266,Black Liberation Army,,,,,,0,,,0,,,,,,,,,,,,
100267,National Committee to Combat Fascism,,,,,,0,,,0,,,,,,,,,,,,
100268,Unknown,,,,,,0,,,0,25,,,,,,,,,,,
100269,Black Panthers,,,,,,1,,,0,16,0,0,,,,,,,,,
100270,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100271,Left-Wing Militants,,,,,,0,,,0,2,-99,0,,,,,,,,,
100272,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100273,Montoneros (Argentina),,,,,,0,,,0,7,,,,,,,,,,,
100274,Montoneros (Argentina),,,,,,0,,,0,11,,,,,,,,,,,
100275,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100276,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100277,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100278,Baader-Meinhof Group,,,,,,0,,,0,,,,,,,,,,,,
100279,Armed Commandos of Liberation,,,,,,0,,,0,,,,,,,,,,,,
100280,Black Nationalists,,,,,,0,,,0,12,-99,0,,,,,,,,,
100281,Left-Wing Militants,,,,,,0,,,0,-99,-99,1,5,Note left at scene,,,,,,,
100282,Peronist Armed Forces (FAP),,,,,,0,,,0,,,,,,,,,,,,
100283,Peronist Armed Forces (FAP),,,,,,0,,,0,4,,,,,,,,,,,
100284,Peronist Armed Forces (FAP),,,,,,0,,,0,2,,,,,,,,,,,
100285,Left-Wing Militants,,,,,,0,,,0,1,1,0,,,,,,,,,
100286,Armed Commandos of Liberation,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100287,Basque Fatherland and Freedom (ETA),,,,,,0,,,0,,,,,,,,,,,,
100288,Armed Revolutionary Independence Movement (MIRA),,,,,,0,,,0,,,,,,,,,,,,
100289,Left-Wing Militants,,,,,,0,,,0,1,-99,0,,,,,,,,,
100290,Irish Republican Extremists,,,,,,0,,,0,,,,,,,,,,,,
100291,Left-Wing Militants,,,,,,0,,,0,2,-99,0,,,,,,,,,
100292,Revolutionary Armed Forces- Argentina (FAR-A),,,,,,0,,,0,4,,,,,,,,,,,
100293,Socialist Patients Collective (SPK),,,,,,0,,,0,,,,,,,,,,,,
100294,White supremacists/nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100295,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100296,Revolutionary Committee of Mozambique (COREMO),,,,,,0,,,0,,,,,,,,,,,,
100297,Left-Wing Militants,,,,,,0,,,0,1,-99,0,,,,,,,,,
100298,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100299,Strikers,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100300,Eritrean Liberation Front,Patrol Vessel,,,,,0,,,0,4,,,,,,,,,,,
100301,Peronist Armed Forces (FAP),,,,,,0,,,0,3,,,,,,,,,,,
100302,Black Liberation Army,,,,,,0,,,0,1,0,1,3,Call (pre-incident),,,,,,,
100303,Turkish Peoples Liberation Army,,,,,,0,,,0,2,,,,,,,,,,,
100304,Black Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100305,Tony El Pelou Band,,,,,,0,,,0,8,,,,,,,,,,,
100306,Chicano Liberation Front,,,,,,0,,,0,,,,,,,,,,,,
100307,Revolutionary Armed Forces- Argentina (FAR-A),,,,,,0,,,0,,,,,,,,,,,,
100308,BAY Bombers,,,,,,0,,,0,,,,,,,,,,,,
100309,Irish Republican Extremists,,,,,,1,,,0,,,,,,,,,,,,
100310,Turkish Peoples Liberation Army,,,,,,0,,,0,1,,,,,,,,,,,
100311,Croatian Nationalists,,,,,,0,,,0,2,,,,,,,,,,,
100312,Neo-Nazi extremists,,,,,,0,,,0,1,1,0,,,,,,,,,
100313,Movement of the Revolutionary Left (MIR) (Venezuela),,,,,,0,,,0,3,,,,,,,,,,,
100314,Left-Wing Militants,,,,,,0,,,0,5,5,0,,,,,,,,,
100315,Puerto Rican Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100316,Puerto Rican Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100317,Puerto Rican Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100318,Black Afro Militant Movement,,,,,,1,,,0,-99,-99,0,,,,,,,,,
100319,Armed Forces of National Liberation- Venezuela (FALN),,,,,,0,,,0,4,,,,,,,,,,,
100320,Chicano Liberation Front,,,,,,0,,,0,-99,-99,1,5,Note left at scene,,,,,,,
100321,Puerto Rican Nationalists,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100322,Puerto Rican Resistance Movement,,,,,,0,,,0,,,,,,,,,,,,
100323,Turkish Peoples Liberation Army,,,,,,0,,,0,5,,,,,,,,,,,
100324,Unknown,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100325,Unknown,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100326,Official Irish Republican Army (OIRA),,,,,,0,,,0,,,,,,,,,,,,
100327,Baader-Meinhof Group,,,,,,0,,,0,3,,,,,,,,,,,
100328,Ku Klux Klan,,,,,,1,,,0,4,4,0,,,,,,,,,
100329,Catalan Liberation Front (FAC),,,,,,0,,,0,,,,,,,,,,,,
100330,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100331,Black Cells,,,,,,0,,,0,,,,,,,,,,,,
100332,Armed Revolutionary Independence Movement (MIRA),,,,,,1,,,0,2,2,0,,,,,,,,,
100333,Student Radicals,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100334,Left-Wing Militants,,,,,,0,,,0,-99,-99,0,,,,,,,,,
100335,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),,,,,,0,,,0,5,,,,,,,,,,,
100336,Secret Cuban Government,,,,,,0,,,0,,,,,,,,,,,,
100337,Students,,,,,,0,,,0,6,,,,,,,,,,,
100338,Jewish Defense League (JDL),,,,,,1,,,0,-99,-99,1,2,Call (post-incident),,,,,,,
100339,Black Nationalists,,,,,,0,,,0,3,-99,0,,,,,,,,,
100340,Ku Klux Klan,,,,,,0,,,0,5,5,0,,,,,,,,,
