gid,weaponid,attackid
120096,21069,3
125451,10023,6
116179,10023,3
100459,10005,2
125462,10023,2
125470,10023,2
125476,10023,2
125478,10023,2
107600,13881,3
100155,10001,6
100020,10001,6
100655,10005,2
125480,10023,2
100238,10005,2
100427,10001,6
100215,10001,6
124560,10023,2
120351,21069,3
100646,10005,2
100233,10001,6
100123,10001,6
125492,10023,6
125500,10023,6
125509,10023,2
125512,10023,2
100241,10001,4
125517,10023,2
125522,10023,6
123805,10023,6
125523,10023,2
100246,10001,6
100247,10001,6
100258,10001,6
108730,16085,3
125524,10023,2
125535,10023,2
110144,16086,3
125545,10023,2
116714,10023,3
100824,10001,9
100418,10001,6
125546,10023,2
100263,10001,4
125560,10023,6
100545,10005,2
125564,10023,6
125564,13882,3
125568,10023,6
125568,10023,1
100287,10001,6
100287,13883,1
125581,10023,2
116344,21069,3
116952,21069,3
116840,10023,1
100549,10001,6
100296,10001,6
100557,10005,1
101861,21069,3
100238,10005,1
100300,10001,4
100313,10001,6
100237,10001,6
105711,13885,3
100469,10005,5
125591,10023,6
107606,13886,1
122532,10023,2
125595,10023,2
100319,10001,6
125599,10023,2
100032,10005,2
125600,10023,1
125606,10023,6
100323,10001,6
125608,10023,2
122910,21069,3
122910,13887,3
125609,10023,6
125610,10023,2
125613,10023,2
115941,10023,2
107632,13887,3
125619,10023,1
105348,10002,3
100219,10001,1
101339,10005,2
125623,10023,6
125625,10023,2
107609,13889,7
105757,13890,2
107616,13892,2
107617,13893,7
107617,13894,1
125634,10023,6
125643,10023,1
125648,10023,2
125649,10023,1
125654,10023,6
107620,13895,3
100357,10001,6
119711,10023,6
107621,13896,9
103397,10005,2
102811,10005,2
101919,10005,1
100370,10001,6
125657,10023,6
125661,10023,6
100184,10001,1
125663,10023,2
116526,10001,6
107623,13897,7
106484,13898,3
120887,10023,2
124567,10023,2
125670,10023,4
125673,10023,2
108925,16087,3
100655,10005,6
101339,10002,3
125678,10023,1
125681,10023,2
100557,10002,3
102659,10005,2
125682,10023,2
103493,10005,2
125689,10023,2
123721,10023,5
125691,10023,2
125694,10023,2
107624,13899,3
107138,13900,2
100711,10001,1
125711,10023,1
100282,10001,1
123446,10023,2
101414,10005,2
125715,10023,7
125719,10023,2
102007,10005,1
100209,10005,1
101342,10005,2
125722,10023,2
125726,10023,6
106008,16088,3
101414,10001,9
125728,10023,2
100266,10001,9
125738,10023,6
110407,16089,6
102049,16089,3
100011,10001,4
105939,13901,3
100427,10001,1
109041,16090,3
125747,10023,2
125750,10023,2
100149,10001,6
125252,10023,1
105715,16091,2
125756,10023,1
120304,10023,1
117598,10023,2
125765,10023,2
116305,10023,5
100392,10001,4
125773,10023,2
105711,13902,3
102455,10005,1
125774,10023,1
125774,16092,3
102808,10005,1
125779,10023,1
100382,10001,1
125781,10023,1
125782,10023,2
125784,10023,2
107587,13903,7
103583,10005,2
100406,10001,6
102826,10005,2
100032,10005,1
118001,10023,4
125786,10023,6
124631,10023,2
103205,10005,2
100423,10001,6
107625,13904,5
100003,10002,1
125715,10023,6
125800,10023,6
125802,10023,6
100436,10001,7
125803,10023,6
125805,10023,6
118015,10023,6
105711,13905,2
125809,10023,6
125819,10023,6
100440,10001,6
105582,10002,3
125826,10023,2
125827,10023,1
125840,10023,6
105715,16093,2
100443,10001,6
125845,10023,1
115978,21070,2
125847,10023,6
125848,10023,6
125855,10023,6
125858,10023,6
125861,10023,2
125865,10023,1
125870,10023,6
125870,13905,1
125873,10023,6
101596,10005,1
117210,10023,6
125877,10023,1
123166,10023,1
100444,10001,4
125881,10023,6
109340,16094,3
125882,10023,2
125886,10023,2
125889,10023,2
125891,10023,2
105804,13906,3
101326,10005,2
102808,10005,2
125893,10023,2
125901,10023,2
125914,10023,2
121402,10023,6
125919,10023,1
125923,10023,1
125928,10023,6
125929,10023,1
125929,10023,2
125932,10023,2
125935,10023,6
125936,10023,2
125903,10023,3
116991,10023,3
101339,10005,6
125937,10023,1
124733,10023,1
100137,10001,1
125939,10023,2
125944,10023,2
100197,10023,2
125947,10023,7
103831,10005,2
100184,10001,6
100032,10005,6
125948,10023,6
101640,10005,2
102642,10005,2
125949,10023,2
106669,13907,3
125952,10023,2
125953,10023,1
125954,10023,2
125963,10023,2
100238,10001,4
110409,16095,6
125965,10023,2
107626,13908,2
100123,10001,9
107627,13909,6
107628,13910,3
107628,13911,3
107630,13912,3
105878,16096,3
100278,10001,1
125971,10023,2
125988,10023,2
125991,10023,6
116394,10023,1
125999,10023,2
116105,10023,1
126015,10023,2
126016,10023,2
126018,10023,2
100607,10001,6
100184,10005,6
126023,10023,6
100557,10001,6
126024,10023,1
101342,10005,5
116679,10023,6
126031,10023,6
126034,10023,1
126035,10023,2
126037,10023,2
126043,10023,1
101144,10005,1
126045,10023,1
126048,10023,2
126054,10023,6
101144,10005,7
105711,13914,3
126056,10023,2
100184,10005,1
126058,10023,2
126059,10023,6
100846,10001,6
116420,10023,2
126067,10023,2
100469,10001,6
126068,10023,6
126069,10023,1
107634,13915,3
126072,10023,1
126079,10023,1
126089,10023,6
126091,10023,6
126092,10023,6
126094,10023,6
126098,10023,1
126113,10023,1
105711,13916,3
109055,13916,3
107636,13917,3
107637,13918,4
107638,13919,3
126115,10023,1
105711,13920,9
126116,10023,6
102811,10005,6
100545,10001,6
108702,13920,9
110413,16097,3
126117,10023,1
126117,21071,3
100719,10001,6
100719,16098,2
126119,10023,6
126121,10023,6
126122,10023,6
126132,10023,2
103547,10005,6
100238,10002,3
100437,10005,2
100474,10001,6
126141,10023,6
105494,10002,3
126146,10023,2
126147,10023,6
126150,10023,2
103598,10002,3
126151,10023,1
109192,13920,6
126159,10023,2
100290,10001,1
100290,13921,2
107642,13922,2
126164,10023,2
126166,10023,1
100733,10001,6
100485,10001,6
100437,10001,6
100486,10001,6
103431,10005,2
100528,10001,6
105715,16099,3
126168,10023,2
116721,10023,1
126172,10023,2
100459,10005,6
126172,10023,4
100687,10001,6
103515,10002,3
105711,13923,3
126173,10023,2
105711,13924,7
100491,10001,6
126177,10023,1
103230,10005,2
126180,10023,2
107643,13925,3
102609,10005,2
100184,10005,2
126181,10023,6
126182,10023,2
126182,13926,3
123818,10023,6
123818,13927,1
126187,10023,2
100510,10001,6
100459,10005,1
126191,10023,2
126194,10023,6
126198,10023,2
100418,21072,3
126199,10023,6
107648,13928,2
100494,10001,1
105878,13929,3
125906,10023,2
126208,10023,7
100497,10001,9
100546,10001,6
103155,10005,2
101144,10005,6
126213,10023,2
120086,10023,2
100655,10005,5
121879,10023,1
126228,10023,2
126229,10023,2
126230,10023,6
107649,13930,3
107649,13931,3
126244,10023,2
126247,10023,2
126247,13933,3
105715,16100,3
126248,10023,2
126249,10023,1
116122,10023,2
100003,10002,4
103969,10005,2
126252,10023,2
105471,10002,3
126260,10023,2
123437,10023,2
126267,10023,6
126271,10023,6
126272,10023,2
125220,10023,2
124968,10023,1
126278,10023,6
107656,13934,3
100655,10001,1
107657,13935,2
103136,10005,6
109744,16101,3
109256,16102,3
126279,10023,2
126281,10023,6
104105,10005,2
126282,10023,7
125062,10023,2
105827,16103,3
106571,13936,3
102998,10005,2
107659,13937,3
125967,10023,6
126290,10023,2
126294,10023,2
122087,10023,2
117057,10023,2
126302,10023,2
126303,10023,2
104121,10005,2
125903,10023,2
107660,13938,2
126304,10023,2
126305,10023,2
126306,10023,2
126318,10023,2
126322,10023,2
102560,10005,1
126323,10023,6
126324,10023,2
126326,10023,2
102811,10005,1
100499,10001,4
126327,10023,1
126330,10023,2
126332,10023,2
126334,10023,2
123785,10023,2
105399,10002,3
101624,10001,6
100646,10001,6
100003,10003,7
126340,10023,6
126341,10023,2
126342,10023,2
126346,10023,5
100003,10001,4
100469,10005,1
103905,10005,2
126348,10023,1
100131,10003,7
126349,10023,1
126350,10023,2
125430,10023,6
126355,10023,2
102659,10005,1
126364,10023,1
103824,10005,2
100215,10003,7
100469,10005,6
100155,10003,7
100003,10003,2
100288,10003,7
126365,10023,7
126379,10023,2
126381,10023,4
126386,10023,6
126390,10023,2
101169,10005,1
109154,16104,3
100009,10003,7
100398,10003,7
100182,10003,7
100329,10003,7
100382,10001,6
126395,10023,6
124254,10023,2
103205,10005,1
126398,10023,1
126380,10023,6
102669,10005,1
124311,10023,2
100689,10005,2
100123,10005,1
103683,10005,2
100496,10003,7
100512,10001,6
124397,10023,2
109744,16105,3
100182,10003,2
100278,10003,7
126416,10023,6
100521,10001,6
100184,10001,4
100184,10003,7
126418,10023,2
103136,10005,2
104307,10005,2
104371,10005,2
102669,10005,2
102324,10005,2
100209,10005,2
104294,10005,2
102327,10005,2
104349,10005,2
102155,10005,2
103923,10005,2
104348,10005,2
100003,10005,6
104290,10005,2
126419,10023,2
100531,10001,6
126420,10023,2
100640,10001,1
121272,10023,7
126366,10023,2
126431,10023,1
100476,10003,7
126432,10023,1
100536,10001,6
101186,10005,2
100510,10003,7
126433,10023,6
126434,10023,6
126466,10023,6
126467,10023,2
123324,10023,1
100550,10001,6
100546,10003,7
126490,10023,1
102366,10005,2
126492,10023,6
100552,10001,6
104182,10005,2
100003,10001,3
100558,10001,6
126513,10023,2
100635,10003,7
103408,10005,2
116371,10023,6
100287,10003,7
126519,10023,1
101270,10005,1
100663,10003,7
100652,10003,7
100663,10003,2
126520,10023,7
126521,10023,2
126521,16106,3
100562,10001,6
103440,10005,2
100566,10001,6
100592,10001,6
100594,10001,6
108331,13938,2
108863,13938,2
100400,10001,6
126526,10023,6
107663,13939,3
100418,10006,3
100604,10001,6
126536,10023,2
107664,13940,3
110427,16107,6
120782,16107,3
100565,10001,9
126543,10023,2
105946,16108,3
126548,10023,1
109957,16109,3
126550,10023,2
105877,16110,2
126554,10023,2
110434,16111,3
107665,13941,3
100545,10003,7
107666,13942,6
105715,16112,3
100642,10001,6
126556,10023,2
126556,10006,3
100847,10005,2
100651,10001,6
107668,13943,3
126558,10023,1
126558,10006,3
116817,10006,3
105816,16113,3
100418,21073,3
126560,10023,6
126563,10023,6
126563,13944,3
107674,13945,3
100608,10001,9
126564,10023,1
126570,10023,6
126571,10023,2
126571,10023,1
100571,10001,9
100665,10001,6
110438,16114,2
100669,10001,6
126574,10023,2
126574,13946,2
100680,10001,1
127320,16114,2
127320,13948,7
126575,10023,1
101065,10005,2
107681,13949,7
126577,10023,6
107685,13950,3
126579,10023,2
106360,13951,3
117462,10023,1
125715,10023,2
107686,13952,3
100543,10001,6
126582,10023,2
110441,16115,3
126586,10023,2
100696,10001,1
126605,10023,6
105711,13953,3
105711,13954,3
100711,10001,6
126608,10023,2
126614,10023,2
126614,10001,5
102470,10006,3
121203,10006,3
105711,13955,2
123081,10023,1
100718,10001,6
100184,10001,9
100721,10001,6
100721,10001,5
105816,16116,3
100624,10001,9
126618,10023,2
126628,10023,2
101844,10006,3
107689,13956,3
102659,10005,6
126637,10023,6
102194,10005,2
126645,10023,6
126647,10023,6
107690,13957,9
126659,10023,1
126662,10023,6
123373,10023,6
103112,10005,1
126666,10023,2
118358,10006,3
101490,10001,1
115911,10001,9
126346,10023,2
124477,10023,2
126675,10023,2
126676,10023,2
105816,16117,2
126679,10023,2
126081,10023,2
107701,13957,6
116318,21074,3
126686,10023,4
107725,13957,6
102113,10005,2
102113,13957,9
126688,10023,5
125542,10023,2
125906,10023,6
107774,13957,9
107774,13957,2
126690,10023,2
107784,13957,6
108036,13957,6
126691,10023,2
100795,10003,3
100424,10001,9
126692,10023,2
121719,10023,2
105816,16118,3
126695,10023,6
126697,10023,6
108041,13957,6
126703,10023,6
121625,10006,3
108043,13957,6
126704,10023,2
126705,10023,6
102221,10005,2
102221,13957,1
126710,10023,2
100574,10001,6
100738,10001,6
108056,13957,6
126711,10023,2
100742,10001,6
107689,13958,1
121317,10023,2
105711,13959,3
102531,13960,3
105816,16119,3
126720,10023,2
107320,13961,3
126722,10023,2
126723,10023,2
126725,10023,2
126731,10023,1
126732,10023,2
100758,10001,6
105715,16120,3
100287,10005,2
121310,31005,3
126737,10023,6
118871,10006,3
100609,10005,2
118131,10006,3
105807,13962,2
126744,10023,2
120450,10023,6
126749,10023,2
102049,10023,7
100747,10001,3
101763,10001,1
105816,16121,3
100645,10001,6
126755,10023,2
110457,16122,2
100775,10001,6
126756,10023,2
126757,10023,7
100779,10001,6
126762,10023,2
107694,13963,3
126767,10023,2
126771,10023,1
126775,10023,1
105711,13963,3
100780,10001,4
100442,10001,9
107698,13964,3
126777,10023,6
115979,10006,3
126782,10023,2
126785,10023,1
100551,10005,7
116042,10006,3
100287,10001,1
126793,10023,1
100442,10001,6
126807,10023,2
100699,10005,2
115971,10006,3
126813,10023,2
100791,10001,6
126815,10023,6
126819,10023,6
126823,10023,2
126827,10023,6
123818,10023,2
103706,10005,2
100798,10001,6
126830,10023,6
100812,10001,6
100832,10001,1
100838,10001,6
116560,10023,7
117659,10023,1
100418,21075,3
107699,13965,7
126839,10023,2
126841,10023,6
126842,10023,6
126843,10023,2
126845,10023,2
126848,10023,6
100165,10003,7
110458,16123,6
116526,10023,1
126852,10023,2
126855,10023,2
115978,10006,3
126862,10023,2
107700,13966,3
126081,10023,1
126864,10023,6
126866,10023,2
126878,10023,6
115901,21076,2
116219,21077,3
100851,10001,6
116840,10023,6
100655,10001,9
126884,10023,2
126885,10023,2
126893,10023,6
126896,10023,2
126899,10023,2
126899,10023,6
126905,10023,1
122191,10023,6
126912,10023,2
106571,16124,3
126914,10023,7
126920,10023,2
126923,10023,1
126925,10023,1
101844,21078,3
117048,21079,7
100418,21080,3
107703,13967,2
105878,13968,2
126930,10023,6
103832,10005,1
126931,10023,6
117050,21081,1
126935,10023,2
115978,21082,2
100418,21083,3
100561,10001,6
126936,10023,6
105863,13970,3
105765,13971,2
105742,13972,2
100546,10003,2
126937,10023,1
116088,10023,2
126947,10023,2
103921,10005,2
116015,10006,3
100185,10001,9
124137,21083,3
100861,10001,6
126948,10023,6
107709,13973,3
125665,10023,2
100510,10001,9
100875,10001,6
116817,10023,6
126959,10023,2
100238,10001,6
126961,10023,6
100881,10001,6
110459,16125,3
100883,10001,6
124342,10023,2
100520,10003,2
100511,10001,7
118871,16125,3
122187,16125,3
116653,10023,6
118887,16125,3
104278,10005,2
126974,10023,6
100889,10001,7
119008,10023,2
101490,10001,9
100625,10001,6
107712,13974,3
126979,10023,7
107716,13975,7
126984,10023,1
100418,21084,3
100894,10001,6
126987,10023,6
100889,10001,5
126965,10023,6
126989,10023,6
126994,10023,2
100520,10003,7
126995,10023,6
118358,16125,3
101306,10002,3
100418,21085,3
129058,21085,3
107718,13976,3
102531,13977,3
102531,13978,3
126998,10023,4
127001,10023,1
127002,10023,2
127010,10023,6
127013,10023,6
100843,10003,2
100621,10001,6
127014,10023,6
127015,10023,6
127016,10023,6
100418,16125,3
127021,10023,6
120883,10006,3
127023,10023,2
100327,10001,6
127027,10023,1
127029,10023,2
127031,10023,6
121412,16125,3
100011,10002,3
105711,13979,3
107721,13980,2
127032,10023,6
101864,10002,3
127043,10023,2
116344,10006,3
118887,10006,3
100925,10001,4
127048,10023,2
123483,16125,3
127055,10023,2
127064,10023,2
127073,10023,2
127082,10023,6
127083,10023,2
127098,10023,2
126477,10023,2
126477,10023,7
107723,13981,6
127099,10023,6
120786,10023,2
127105,10023,6
127118,10023,1
100123,10001,3
100930,10001,6
127121,10023,6
127121,10023,2
127125,10023,2
127127,10023,2
127129,10023,2
110459,16126,6
127133,10023,2
127141,10023,2
127141,10023,6
107724,13982,3
127144,10023,7
127145,10023,2
127150,10023,6
103245,10005,7
127152,10023,6
127153,10023,2
127158,10023,6
100598,10001,6
127160,10023,6
116511,10023,4
101844,21086,3
127181,10023,1
127185,10023,6
100848,10003,7
123410,10023,6
103683,10023,2
115939,10006,3
127192,10023,1
127199,10023,1
110459,16127,3
127201,10023,6
127204,10023,2
127212,10023,6
127223,10023,2
127224,10023,6
127227,10023,2
127228,10023,2
127236,10023,2
127237,10023,6
127239,10023,2
127240,10023,2
127249,10023,2
117579,10023,6
127236,10023,6
127254,10023,6
120868,10023,2
127266,10023,1
118843,10023,1
127271,10023,6
101705,10023,1
127273,10023,2
127275,10023,6
127281,10023,1
126430,10023,2
110464,16128,2
100963,10001,6
127288,10023,1
100970,10001,6
105878,16129,3
103352,10005,2
100644,10001,6
103245,10005,2
127293,10023,6
107728,13983,3
107137,13985,2
123985,10023,6
127296,10023,2
127313,10023,2
107730,13986,3
102414,10005,2
127319,10023,2
127326,10023,2
116522,10023,1
127327,10023,2
126254,10023,2
127331,10023,1
125515,10023,6
122620,10023,2
127333,10023,6
121804,10023,2
127340,10023,1
127344,10023,1
127347,10023,1
110474,16130,1
107731,13987,3
107732,13988,2
107733,13989,2
127348,10023,6
127350,10023,6
127355,10023,6
127360,10023,2
123874,10023,2
127363,10023,6
107735,13990,3
103552,16131,3
122620,10023,7
105773,13991,2
105773,13992,3
107737,13993,6
126311,10023,1
127364,10023,2
127369,10023,6
127372,10023,6
107738,13994,3
127374,10023,2
127376,10023,2
100995,10001,9
107739,13995,1
116640,10023,2
105711,13996,1
127379,10023,6
100579,10003,7
105780,13997,3
127380,10023,4
100880,10003,7
100880,10023,2
127386,10023,1
101018,10001,6
127387,10023,6
127389,10023,2
127391,10023,2
127393,10023,2
100496,10003,2
105711,13998,3
105711,16132,2
123155,10023,2
127398,10023,2
100233,10005,1
116633,21087,3
115901,21088,3
117061,21089,2
115928,21089,2
117063,21090,3
127384,10023,2
127384,16133,1
127408,10023,6
117024,10023,2
127417,10023,2
127418,10023,2
127424,10023,2
127434,10023,2
127436,10023,6
127437,10023,2
127443,10023,1
100557,10001,9
127455,10023,2
127456,10023,2
100418,21091,3
110485,16135,3
127464,10023,2
127465,10023,2
127478,10023,2
127480,10023,2
127484,10023,2
127486,10023,2
107744,13999,6
109154,16135,3
121390,10023,6
100418,21092,3
100418,21093,3
115978,21094,2
116402,21095,3
116402,21096,3
111130,21097,2
127489,10023,6
106928,14000,3
107746,14001,2
127498,10023,7
127500,10023,2
115871,16135,3
127501,10023,2
127502,10023,5
127511,10023,2
100418,21097,1
127514,10023,2
107747,14002,2
127516,10023,6
127518,10023,1
127525,10023,2
125349,10023,6
127527,10023,2
118271,10023,2
127536,10023,2
100233,10005,6
123570,10023,6
107748,14003,1
127542,10023,6
107749,14003,2
127545,10023,6
127547,10023,2
127547,10023,1
127554,10023,2
122988,10023,2
127555,10023,2
127559,10023,6
122592,10023,2
127561,10023,1
127563,10023,7
100011,10003,7
127565,10023,2
100287,10003,2
102990,10023,4
120891,10023,2
127574,10023,6
100645,10003,2
100645,14004,3
100645,14005,3
127582,10023,6
125642,10023,2
127590,10023,4
107758,14006,3
107759,14007,1
116374,10006,3
107760,14008,3
127594,10023,6
127595,10023,2
127597,10023,2
127607,10023,2
127608,10023,2
126190,10023,2
127610,10023,2
127613,10023,2
100948,10001,6
117835,10023,5
101023,10001,6
105745,16136,7
100842,10003,7
101861,10006,3
125387,10023,2
100823,10003,7
127626,10023,2
107761,14009,3
107763,14010,3
105748,14011,2
127628,10023,6
107764,14012,3
127631,10023,2
127632,10023,2
100418,10006,1
125319,10023,6
127317,10023,2
127638,10023,2
127639,10023,2
127639,10006,3
127643,10023,1
127646,10023,6
105757,14013,1
127652,10023,6
127660,10023,2
127661,10023,6
127664,10023,6
100419,10023,4
127670,10023,2
127673,10023,2
100913,10003,7
103552,16137,3
127674,10023,6
102470,21097,2
127685,10023,2
126255,10023,6
127688,10023,2
127692,10023,1
127693,10023,6
127699,10023,2
127707,10023,2
127709,10023,1
107776,14014,3
100742,10001,5
127713,10023,6
127716,10023,2
127726,10023,2
127729,10023,2
127732,10023,2
127733,10023,2
127738,10023,1
127741,10023,2
127743,10023,1
127751,10023,1
127756,10023,2
126587,10023,2
125235,10023,2
127771,10023,2
127773,10023,4
127775,10023,6
100742,10001,7
117755,10023,1
127781,10023,7
125242,10023,2
107777,14015,3
107777,10023,6
100546,10003,1
127789,10023,2
126699,10023,1
117289,10023,4
117524,10023,1
127796,10023,2
127799,10023,2
122746,10023,1
127816,10023,7
127824,10023,6
127808,10023,2
107780,14016,3
101140,10001,7
100920,10003,7
127829,10023,1
100742,10001,9
107783,14016,3
127831,10023,1
127834,10023,2
116394,10006,3
100238,10001,1
127835,10023,2
127836,10023,7
127838,10023,2
100933,10001,1
106467,16137,3
127839,10023,1
125506,10023,1
127841,10023,2
127842,10023,2
110493,16138,3
107781,14017,2
107785,14018,2
127846,10023,2
127848,10023,2
127853,10023,6
127864,10023,6
127866,10023,2
107786,14019,2
107787,14020,2
106022,14022,2
107794,14024,2
107797,14025,4
107804,14026,3
127867,10023,2
122393,10023,5
122393,14027,3
125045,10023,2
107811,14028,3
127879,10023,2
127890,10023,2
107823,14029,6
107829,14031,8
107831,14031,8
110495,16139,3
101038,10001,6
110496,16140,3
123100,10023,6
125349,10023,2
105816,16141,3
127904,10023,1
127908,10023,6
123334,10023,6
110497,16142,1
105816,16143,3
103552,16144,2
105816,16145,3
127921,10023,1
125506,10023,2
127923,10023,2
109340,16146,2
102395,10005,2
105816,16147,2
100883,10001,1
127926,10023,6
127928,10023,2
105816,16148,3
105816,16149,3
127943,10023,1
127950,10023,1
127954,10023,2
127962,10023,2
116166,10023,4
127964,10023,6
127966,10023,1
117009,21097,2
122308,21097,1
100419,21097,2
124736,10023,2
127970,10023,6
111772,14031,8
127972,10023,2
100418,14031,8
109778,14031,8
101844,14031,8
126366,10023,7
119591,14031,8
121732,14031,8
127976,10023,2
101052,10001,6
127978,10023,2
121508,14031,8
100003,10001,7
127984,10023,2
101844,14031,1
127989,10023,6
124015,14031,8
100419,14031,8
110511,16150,3
127991,10023,2
101062,10001,6
127994,10023,2
127995,10023,6
118337,10023,2
127996,10023,2
127997,10023,2
127998,10023,2
128000,10023,1
101144,10005,5
100418,21098,3
128001,10023,2
128002,10023,7
100616,10001,6
128002,10023,6
128007,10023,6
117509,14031,8
110512,16151,2
117871,10006,3
128535,14031,7
129492,14031,7
100111,10003,7
101071,10001,6
128009,10023,2
126587,10023,6
130906,14031,8
128023,10023,6
100883,10001,5
128026,10023,6
105757,14032,2
116181,10023,1
128032,10023,2
111772,14032,2
101078,10001,6
128044,10023,2
128047,10023,7
128049,10023,6
115084,10006,3
128053,10023,2
101021,10001,6
128054,10023,6
105816,16152,3
110514,16153,2
128057,10023,1
127656,10023,2
128061,10023,2
101092,10001,6
128043,10023,2
128067,10023,2
105878,16154,3
128070,10023,6
128072,10023,2
110569,16154,3
112179,14032,2
128075,10023,2
100750,10003,7
110505,16155,3
105816,16156,3
128079,10023,2
128083,10023,2
128089,10023,7
128091,10023,6
121910,14032,2
105863,14033,3
101094,10001,6
105715,16156,3
128094,10023,6
128097,10023,1
128100,10023,2
128103,10023,2
106008,16156,3
128104,10023,1
111018,16156,3
128107,10023,2
101096,10001,6
128108,10023,2
128110,10023,7
100901,10003,7
122008,10006,3
128117,10023,1
128117,10023,6
128121,10023,2
128122,10023,2
128123,10023,2
100858,10003,7
111028,16156,3
107841,14034,8
128128,10023,2
128129,10023,2
116439,10023,4
128138,10023,2
128139,10023,2
107916,14034,8
107848,14035,7
101951,10001,7
128147,10023,2
128165,10023,2
128166,10023,6
128168,10023,2
128174,10023,2
128180,10023,6
128183,10023,1
128184,10023,6
128186,10023,2
107849,14036,3
105711,14037,7
128189,10023,2
128191,10023,2
128200,10023,2
102349,10005,2
128210,10023,6
128210,10023,2
128210,10023,7
128222,10023,1
125655,10023,2
128228,10023,2
128234,10023,6
120325,10023,2
128247,10023,6
128249,10023,2
120216,10023,2
120895,10023,5
105711,14038,7
105711,14039,3
107862,14040,2
102531,14041,3
118114,14041,3
118456,14041,3
111048,16156,3
128255,10023,2
115964,14041,3
119328,14041,3
100781,10001,6
127149,10023,2
100861,10001,9
128102,10023,6
128262,10023,2
107898,14042,3
128266,10023,2
111051,16156,3
128268,10023,1
128272,10023,1
109099,16156,3
126514,10023,6
128281,10023,1
128285,10023,6
128300,10023,2
128302,10023,2
126498,10023,6
128306,10023,1
116041,10023,1
107901,14043,3
128322,10023,6
128323,10023,1
111064,16156,3
101098,10001,6
105711,14044,3
105711,14045,8
128328,10023,1
128329,10023,2
128329,10023,5
101101,10001,6
101103,10001,3
105733,16156,3
101113,10001,9
100418,21099,3
101124,10001,6
128339,10023,6
128355,10023,6
128360,10023,2
128365,10023,2
128367,10023,2
128368,10023,5
127149,10023,1
128385,10023,2
120890,10023,6
128388,10023,2
128391,10023,6
128397,10023,2
100607,10001,9
128405,10023,1
128411,10023,6
128421,10023,2
100968,10003,2
101138,10001,6
128427,10023,2
111065,16156,3
101148,10001,6
127477,10023,2
107909,14046,1
102550,10005,2
128433,10023,6
128442,10023,6
122627,10023,2
105711,14047,7
128448,10023,2
128454,10023,6
128458,10023,2
107911,14048,3
103692,10005,2
128464,10023,2
127118,10023,2
128475,10023,2
128477,10023,2
128489,10023,2
128491,10023,6
128499,10023,1
128500,10023,2
122899,10006,3
128519,10023,2
111073,16156,3
